"","Term","College","Course","Catalog","Req_1","Req_2","Avg_enrl","GEcapsize","Avg_capenrl","Crs_section_cnt"
"316","F23","NSM","GEOL-3318",3318,"UDB","None",27.33,45,66.6666666666667,6
"317","F23","NSM","GEOL-3328",3328,"UDB","None",48.5,45,65,2
"318","F23","NSM","BIOL-3318",3318,"UDB","None",45,45,48,1
"319","F23","NSM","SCI-3109",3109,"UDB","None",8,45,17.5,2
"320","F23","NSM","SCI-3209",3209,"UDB","None",25,45,25,1
"321","F23","NSM","SCI-3609",3609,"UDB","None",18,45,30,1
"322","F23","NSM","SCI-3639",3639,"UDB","None",33,45,33,2
"323","F23","NSM","MATH-3209",3209,"UDD","None",24,45,25,1
"324","F23","SS&E","SOC-1018",1018,"A3","None",30,35,35,2
"325","F23","SS&E","PLSI-1018",1018,"AIGV","None",32.92,45,38.0833333333333,12
"326","F23","SS&E","KINE-2018",2018,"B4","None",33,35,35,1
"327","F23","SS&E","PSYC-2018",2018,"B4","None",23.62,35,24,8
"328","F23","SS&E","SOC-2208",2208,"B4","None",24,35,25,2
"329","F23","SS&E","ANTH-1109",1109,"DSEM","None",10,45,60,1
"330","F23","SS&E","ANTH-1118",1118,"DSEM","None",34,45,60,1
"331","F23","SS&E","ANTH-1318",1318,"DSEM","None",6,85,60,1
"332","F23","SS&E","ANTH-2128",2128,"DSEM","None",32,85,45,1
"333","F23","SS&E","CRJU-1108",1108,"DSEM","None",47.5,85,45,2
"334","F23","SS&E","PSYC-1018",1018,"DSEM","None",53,85,60,5
"335","F23","SS&E","SOC-1008",1008,"DSEM","None",28,85,45,3
"336","F23","SS&E","ETHS-1208",1208,"F","None",34.58,45,35,12
"337","F23","SS&E","ETHS-1308",1308,"F","None",45.5,45,45,2
"338","F23","SS&E","EDSP-3268",3268,"JYDR","None",30.67,45,32,3
"339","F23","SS&E","EDTE-3308",3308,"JYDR","None",38.1,45,39,10
"340","F23","SS&E","KINE-3338",3338,"JYDR","None",41.67,45,45,3
"341","F23","SS&E","PSYC-3638",3638,"JYDR","None",44.5,45,45,2
"342","F23","SS&E","SOC-3208",3208,"JYDR","None",29,45,35.5,6
"343","F23","SS&E","ANTH-3308",3308,"UDD","None",35,45,35,1
"344","F23","SS&E","ANTH-3318",3318,"UDD","None",16,45,35,1
"345","F23","SS&E","CRJU-3318",3318,"UDD","None",30,45,30,3
"346","F23","SS&E","CRJU-3448",3448,"UDD","None",30,45,30,3
"347","F23","SS&E","CRJU-3608",3608,"UDD","None",22.33,45,30,3
"348","F23","SS&E","CRJU-4638",4638,"UDD","None",22.33,45,29.6666666666667,3
"349","F23","SS&E","KINE-3118",3118,"UDD","None",30,45,48,1
"350","F23","SS&E","PLSI-3428",3428,"UDD","None",29,45,35,1
"351","F23","SS&E","PLSI-3648",3648,"UDD","None",11,45,35,1
"352","F23","SS&E","PSYC-3658",3658,"UDD","None",39,35,45,1
"353","F23","SS&E","SOC-3408",3408,"UDD","None",21.5,45,22.5,2
"354","F23","SS&E","SOC-3658",3658,"UDD","None",38,45,40,1
"355","F23","SS&E","SOC-4038",4038,"UDD","None",43,45,45,1
"356","F23","SS&E","SOC-3008",3008,"UDD","None",34,45,35,1
"357","F23","SS&E","PSYC-4358",4358,"UDD","None",51,45,50,1
"358","S24","A&H","COMM-1008",1008,"A1","None",24.27,26,25,15
"359","S24","A&H","THTR-1009",1009,"A1","None",19.25,26,26,4
"360","S24","A&H","ENGL-1109",1109,"A2","None",19.33,25,25,12
"361","S24","A&H","PHIL-1019",1019,"A3","None",26.6,35,35,15
"362","S24","A&H","PHIL-2019",2019,"A3","None",19.67,35,35,3
"363","S24","A&H","HIST-1218",1218,"AIAH","None",47,45,52.5,6
"364","S24","A&H","HIST-1228",1228,"AIAH","None",40.33,45,52.5,6
"365","S24","A&H","ART-1009",1009,"C1","None",27.67,45,36,6
"366","S24","A&H","ART-1019",1019,"C1","None",45.25,85,45,4
"367","S24","A&H","ART-2508",2508,"C1","None",34,45,45,1
"368","S24","A&H","ART-2608",2608,"C1","None",40,45,45,1
"369","S24","A&H","ART-2708",2708,"C1","None",13,45,45,1
"370","S24","A&H","MUS-1019",1019,"C1","None",45,85,45,3
"371","S24","A&H","MUS-1039",1039,"C1","None",20,45,45,1
"372","S24","A&H","MUS-1049",1049,"C1","None",15,45,22.5,2
